encoder,cell,source,indicator,f1,auc_roc,precision,recall
iTransformer,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,composite_majority_vote,0.3689,,0.2879,0.5135
iTransformer,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,chauvet_piger,0.0,0.5,0.0,0.0
iTransformer,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,sahm,0.0,0.5,0.0,0.0
iTransformer,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,cfnai_ma3,0.0,0.5,0.0,0.0
iTransformer,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,oecd_cli,0.0,0.5,0.0,0.0
iTransformer,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,composite_majority_vote,0.0,,0.0,0.0
bocpd,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,chauvet_piger,0.0,0.4568,0.0,0.0
bocpd,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,sahm,0.0,0.4655,0.0,0.0
bocpd,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,cfnai_ma3,0.0,0.4676,0.0,0.0
bocpd,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,oecd_cli,0.129,0.5093,0.5,0.0741
bocpd,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,composite_majority_vote,0.0,,0.0,0.0
bocpd,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,chauvet_piger,0.0,0.4137,0.0,0.0
bocpd,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,sahm,0.0,0.431,0.0,0.0
bocpd,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,cfnai_ma3,0.0,0.4351,0.0,0.0
bocpd,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,oecd_cli,0.1714,0.4861,0.375,0.1111
bocpd,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,composite_majority_vote,0.0,,0.0,0.0
bocpd,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,chauvet_piger,0.0,0.4137,0.0,0.0
bocpd,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,sahm,0.0,0.431,0.0,0.0
bocpd,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,cfnai_ma3,0.0,0.4351,0.0,0.0
bocpd,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,oecd_cli,0.1524,0.4753,0.3333,0.0988
bocpd,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,composite_majority_vote,0.0,,0.0,0.0
bocpd,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,chauvet_piger,0.0,0.4568,0.0,0.0
bocpd,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,sahm,0.0,0.4655,0.0,0.0
bocpd,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,cfnai_ma3,0.0,0.4676,0.0,0.0
bocpd,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,oecd_cli,0.043,0.466,0.1667,0.0247
bocpd,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,composite_majority_vote,0.0,,0.0,0.0
bocpd,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,chauvet_piger,0.3008,0.4734,0.241,0.4
bocpd,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,sahm,0.0,0.2615,0.0,0.0
bocpd,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,cfnai_ma3,0.0,0.2757,0.0,0.0
bocpd,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,oecd_cli,0.6341,0.6775,0.6265,0.642
bocpd,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,composite_majority_vote,0.2833,,0.2048,0.4595
bocpd,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,chauvet_piger,0.3505,0.5621,0.3617,0.34
bocpd,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,sahm,0.0,0.3649,0.0,0.0
bocpd,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,cfnai_ma3,0.0392,0.5007,0.0213,0.25
bocpd,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,oecd_cli,0.3906,0.5525,0.5319,0.3086
bocpd,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,composite_majority_vote,0.2143,,0.1915,0.2432
hamilton_hmm,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,chauvet_piger,0.1441,0.3894,0.1311,0.16
hamilton_hmm,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,sahm,0.1579,0.542,0.0984,0.4
hamilton_hmm,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,cfnai_ma3,0.0615,0.5905,0.0328,0.5
hamilton_hmm,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,oecd_cli,0.3803,0.5093,0.4426,0.3333
hamilton_hmm,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,composite_majority_vote,0.1837,,0.1475,0.2432
hamilton_hmm,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,chauvet_piger,0.1017,0.5084,0.3333,0.06
hamilton_hmm,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,sahm,0.0,0.4741,0.0,0.0
hamilton_hmm,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,cfnai_ma3,0.0,0.4757,0.0,0.0
hamilton_hmm,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,oecd_cli,0.0444,0.4799,0.2222,0.0247
hamilton_hmm,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,composite_majority_vote,0.0,,0.0,0.0
hamilton_hmm,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,chauvet_piger,0.0612,0.3681,0.0625,0.06
hamilton_hmm,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,sahm,0.127,0.5069,0.0833,0.2667
hamilton_hmm,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,cfnai_ma3,0.0385,0.498,0.0208,0.25
hamilton_hmm,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,oecd_cli,0.3101,0.4938,0.4167,0.2469
hamilton_hmm,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,composite_majority_vote,0.0941,,0.0833,0.1081
hamilton_hmm,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,chauvet_piger,0.3421,0.5832,0.5,0.26
hamilton_hmm,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,sahm,0.0,0.4253,0.0,0.0
hamilton_hmm,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,cfnai_ma3,0.0,0.4297,0.0,0.0
hamilton_hmm,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,oecd_cli,0.1682,0.4769,0.3462,0.1111
hamilton_hmm,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,composite_majority_vote,0.127,,0.1538,0.1081
hamilton_hmm,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,chauvet_piger,0.1101,0.3694,0.1017,0.12
hamilton_hmm,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,sahm,0.1892,0.5839,0.1186,0.4667
hamilton_hmm,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,cfnai_ma3,0.0635,0.5959,0.0339,0.5
hamilton_hmm,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,oecd_cli,0.3429,0.4861,0.4068,0.2963
hamilton_hmm,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,composite_majority_vote,0.1458,,0.1186,0.1892
hamilton_hmm,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,chauvet_piger,0.2889,0.5329,0.325,0.26
hamilton_hmm,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,sahm,0.4,0.7833,0.275,0.7333
hamilton_hmm,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,cfnai_ma3,0.1364,0.775,0.075,0.75
hamilton_hmm,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,oecd_cli,0.2479,0.4769,0.375,0.1852
hamilton_hmm,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,composite_majority_vote,0.3117,,0.3,0.3243
patchtst,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,chauvet_piger,0.1758,0.4613,0.1951,0.16
patchtst,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,sahm,0.1429,0.527,0.0976,0.2667
patchtst,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,cfnai_ma3,0.0889,0.6446,0.0488,0.5
patchtst,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,oecd_cli,0.2623,0.483,0.3902,0.1975
patchtst,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,composite_majority_vote,0.2051,,0.1951,0.2162
patchtst,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,chauvet_piger,0.1404,0.5292,0.5714,0.08
patchtst,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,sahm,0.0909,0.5161,0.1429,0.0667
patchtst,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,cfnai_ma3,0.0,0.4811,0.0,0.0
patchtst,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,oecd_cli,0.0909,0.5108,0.5714,0.0494
patchtst,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,composite_majority_vote,0.0909,,0.2857,0.0541
patchtst,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,chauvet_piger,0.2889,0.5329,0.325,0.26
patchtst,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,sahm,0.1091,0.4937,0.075,0.2
patchtst,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,cfnai_ma3,0.0,0.3919,0.0,0.0
patchtst,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,oecd_cli,0.314,0.5201,0.475,0.2346
patchtst,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,composite_majority_vote,0.2078,,0.2,0.2162
patchtst,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,chauvet_piger,0.0,0.5,0.0,0.0
patchtst,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,sahm,0.0,0.5,0.0,0.0
patchtst,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,cfnai_ma3,0.0,0.5,0.0,0.0
patchtst,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,oecd_cli,0.0,0.5,0.0,0.0
patchtst,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,composite_majority_vote,0.0,,0.0,0.0
patchtst,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,chauvet_piger,0.186,0.4793,0.2222,0.16
patchtst,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,sahm,0.1569,0.5414,0.1111,0.2667
patchtst,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,cfnai_ma3,0.1,0.6581,0.0556,0.5
patchtst,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,oecd_cli,0.2393,0.4846,0.3889,0.1728
patchtst,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,composite_majority_vote,0.2192,,0.2222,0.2162
patchtst,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,chauvet_piger,0.1918,0.5124,0.3043,0.14
patchtst,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,sahm,0.1579,0.5425,0.1304,0.2
patchtst,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,cfnai_ma3,0.0741,0.5655,0.0435,0.25
patchtst,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,oecd_cli,0.2115,0.5123,0.4783,0.1358
patchtst,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,composite_majority_vote,0.2333,,0.3043,0.1892
tfc,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,chauvet_piger,0.3818,0.5697,0.35,0.42
tfc,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,sahm,0.32,0.7621,0.2,0.8
tfc,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,cfnai_ma3,0.125,0.8486,0.0667,1.0
tfc,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,oecd_cli,0.5248,0.6219,0.6167,0.4568
tfc,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,composite_majority_vote,0.433,,0.35,0.5676
tfc,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,chauvet_piger,0.0645,0.484,0.1667,0.04
tfc,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,sahm,0.5185,0.719,0.5833,0.4667
tfc,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,cfnai_ma3,0.375,0.8507,0.25,0.75
tfc,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,oecd_cli,0.086,0.4877,0.3333,0.0494
tfc,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,composite_majority_vote,0.1633,,0.3333,0.1081
tfc,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,chauvet_piger,0.2299,0.5029,0.2703,0.2
tfc,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,sahm,0.3462,0.7195,0.2432,0.6
tfc,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,cfnai_ma3,0.1463,0.7831,0.0811,0.75
tfc,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,oecd_cli,0.2881,0.5123,0.4595,0.2099
tfc,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,composite_majority_vote,0.3243,,0.3243,0.3243
tfc,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,chauvet_piger,0.349,0.4974,0.2626,0.52
tfc,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,sahm,0.0526,0.3241,0.0303,0.2
tfc,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,cfnai_ma3,0.0,0.2324,0.0,0.0
tfc,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,oecd_cli,0.4222,0.4522,0.3838,0.4691
tfc,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,composite_majority_vote,0.2059,,0.1414,0.3784
tfc,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,chauvet_piger,0.0345,0.2898,0.0303,0.04
tfc,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,sahm,0.2963,0.7448,0.1818,0.8
tfc,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,cfnai_ma3,0.0857,0.7047,0.0455,0.75
tfc,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,oecd_cli,0.3129,0.4429,0.3485,0.284
tfc,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,composite_majority_vote,0.0777,,0.0606,0.1081
tfc,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,chauvet_piger,0.3788,0.545,0.3049,0.5
tfc,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,sahm,0.0619,0.373,0.0366,0.2
tfc,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,cfnai_ma3,0.0,0.2784,0.0,0.0
tfc,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,oecd_cli,0.3436,0.4228,0.3415,0.3457
tfc,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,composite_majority_vote,0.2353,,0.1707,0.3784
timesnet,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,chauvet_piger,0.1148,0.3362,0.0972,0.14
timesnet,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,sahm,0.1379,0.5103,0.0833,0.4
timesnet,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,cfnai_ma3,0.0263,0.4331,0.0139,0.25
timesnet,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,oecd_cli,0.2614,0.3827,0.2778,0.2469
timesnet,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,composite_majority_vote,0.0367,,0.0278,0.0541
timesnet,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,chauvet_piger,0.0,0.3921,0.0,0.0
timesnet,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,sahm,0.0,0.4138,0.0,0.0
timesnet,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,cfnai_ma3,0.0,0.4189,0.0,0.0
timesnet,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,oecd_cli,0.2523,0.5123,0.4667,0.1728
timesnet,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,composite_majority_vote,0.0,,0.0,0.0
timesnet,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,chauvet_piger,0.137,0.4853,0.2174,0.1
timesnet,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,sahm,0.3158,0.6511,0.2609,0.4
timesnet,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,cfnai_ma3,0.0,0.4378,0.0,0.0
timesnet,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,oecd_cli,0.1923,0.5015,0.4348,0.1235
timesnet,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,composite_majority_vote,0.1333,,0.1739,0.1081
timesnet,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,chauvet_piger,0.3636,0.5437,0.3099,0.44
timesnet,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,sahm,0.0698,0.4046,0.0423,0.2
timesnet,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,cfnai_ma3,0.0533,0.5635,0.0282,0.5
timesnet,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,oecd_cli,0.4079,0.5062,0.4366,0.3827
timesnet,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,composite_majority_vote,0.2407,,0.1831,0.3514
timesnet,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,chauvet_piger,0.2055,0.3586,0.1562,0.3
timesnet,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,sahm,0.1802,0.5862,0.1042,0.6667
timesnet,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,cfnai_ma3,0.02,0.3682,0.0104,0.25
timesnet,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,oecd_cli,0.4859,0.5201,0.4479,0.5309
timesnet,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,composite_majority_vote,0.1654,,0.1146,0.2973
timesnet,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,chauvet_piger,0.3765,0.5035,0.2667,0.64
timesnet,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,sahm,0.0296,0.2276,0.0167,0.1333
timesnet,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,cfnai_ma3,0.0484,0.5588,0.025,0.75
timesnet,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,oecd_cli,0.5373,0.5278,0.45,0.6667
timesnet,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,composite_majority_vote,0.3185,,0.2083,0.6757
ts2vec,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,chauvet_piger,0.3846,0.5011,0.2652,0.7
ts2vec,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,sahm,0.0,0.1207,0.0,0.0
ts2vec,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,cfnai_ma3,0.0,0.1432,0.0,0.0
ts2vec,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,oecd_cli,0.554,0.5262,0.447,0.7284
ts2vec,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,composite_majority_vote,0.284,,0.1818,0.6486
ts2vec,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,chauvet_piger,0.0,0.5,0.0,0.0
ts2vec,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,sahm,0.0,0.5,0.0,0.0
ts2vec,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,cfnai_ma3,0.0,0.5,0.0,0.0
ts2vec,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,oecd_cli,0.0,0.5,0.0,0.0
ts2vec,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,composite_majority_vote,0.0,,0.0,0.0
ts2vec,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,chauvet_piger,0.0,0.4892,0.0,0.0
ts2vec,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,sahm,0.0,0.4914,0.0,0.0
ts2vec,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,cfnai_ma3,0.0,0.4919,0.0,0.0
ts2vec,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,oecd_cli,0.0714,0.5185,1.0,0.037
ts2vec,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,composite_majority_vote,0.0,,0.0,0.0
ts2vec,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,chauvet_piger,0.1026,0.4537,0.1429,0.08
ts2vec,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,sahm,0.1395,0.5282,0.1071,0.2
ts2vec,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,cfnai_ma3,0.0,0.4243,0.0,0.0
ts2vec,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,oecd_cli,0.0917,0.4244,0.1786,0.0617
ts2vec,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,composite_majority_vote,0.0308,,0.0357,0.027
ts2vec,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,chauvet_piger,0.3767,0.4488,0.2428,0.84
ts2vec,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,sahm,0.117,0.4011,0.0636,0.7333
ts2vec,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,cfnai_ma3,0.0226,0.2878,0.0116,0.5
ts2vec,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,oecd_cli,0.5433,0.4444,0.3988,0.8519
ts2vec,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,composite_majority_vote,0.2667,,0.1618,0.7568
ts2vec,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,chauvet_piger,0.313,0.5109,0.2769,0.36
ts2vec,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,sahm,0.225,0.6391,0.1385,0.6
ts2vec,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,cfnai_ma3,0.0,0.3243,0.0,0.0
ts2vec,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,oecd_cli,0.3699,0.4907,0.4154,0.3333
ts2vec,tsne_hdbscan,c1_multi_label_tsne_hdbscan_locked.csv,composite_majority_vote,0.2157,,0.1692,0.2973
moment,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,chauvet_piger,0.3038,0.5588,0.4138,0.24
moment,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,sahm,0.2273,0.5977,0.1724,0.3333
moment,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,cfnai_ma3,0.1212,0.677,0.069,0.5
moment,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,oecd_cli,0.3091,0.5494,0.5862,0.2099
moment,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,composite_majority_vote,0.303,,0.3448,0.2703
moment,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,chauvet_piger,0.0727,0.5092,0.4,0.04
moment,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,sahm,0.1,0.5218,0.2,0.0667
moment,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,cfnai_ma3,0.0,0.4865,0.0,0.0
moment,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,oecd_cli,0.0465,0.4985,0.4,0.0247
moment,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,composite_majority_vote,0.0476,,0.2,0.027
moment,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,chauvet_piger,0.4045,0.6045,0.4615,0.36
moment,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,sahm,0.1481,0.5328,0.1026,0.2667
moment,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,cfnai_ma3,0.093,0.65,0.0513,0.5
moment,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,oecd_cli,0.4,0.5787,0.6154,0.2963
