series,ks_stat,p_value,train_mean,test_mean,mean_shift,train_std,test_std,significant_p05
AMDMUOx,0.1559,0.002,0.005,0.0032,-0.0018,0.0105,0.0078,True
IPBUSEQ,0.1548,0.0022,0.0047,0.0008,-0.0039,0.0114,0.0244,True
PPICMM,0.1521,0.0028,0.0,-0.0002,-0.0002,0.0257,0.0413,True
IPB51222S,0.1504,0.0032,0.003,0.0005,-0.0025,0.0286,0.0492,True
UEMPLT5,0.1484,0.0038,0.0011,0.002,0.001,0.0517,0.1278,True
CES1021000001,0.147,0.0043,-0.0006,-0.0004,0.0002,0.0211,0.0125,True
CUSR0000SAC,0.1442,0.0054,0.0,0.0,-0.0,0.0037,0.006,True
IPNMAT,0.143,0.006,0.0027,-0.0,-0.0027,0.0096,0.0139,True
IPMAT,0.1426,0.0062,0.0028,0.0013,-0.0015,0.012,0.0137,True
PERMIT,0.142,0.0065,7.2038,7.074,-0.1298,0.2397,0.3164,True
CPIULFSL,0.1419,0.0065,0.0,0.0,0.0,0.0025,0.0029,True
HOUSTS,0.1418,0.0066,6.4276,6.3589,-0.0687,0.2463,0.3334,True
CUSR0000SAD,0.1388,0.0084,-0.0,-0.0,0.0,0.0029,0.0041,True
W875RX1,0.1376,0.0092,0.0029,0.0021,-0.0007,0.0049,0.0083,True
CPIMEDSL,0.1368,0.0097,-0.0,0.0,0.0,0.003,0.0025,True
CPIAPPSL,0.1344,0.0117,0.0,0.0001,0.0,0.0049,0.0073,True
DNDGRG3M086SBEA,0.1325,0.0136,0.0,0.0,0.0,0.0042,0.0065,True
UEMP15OV,0.1316,0.0145,0.0002,-0.0056,-0.0058,0.0559,0.0889,True
GS5,0.1253,0.0229,0.0046,0.0069,0.0024,0.3571,0.1986,True
INVEST,0.1251,0.0233,0.0,-0.0,-0.0001,0.0105,0.0078,True
CPIAUCSL,0.1234,0.0261,0.0,0.0,-0.0,0.0024,0.0025,True
CUSR0000SA0L2,0.1224,0.0279,0.0,0.0,-0.0,0.0029,0.0036,True
CES3000000008,0.1205,0.0319,-0.0,0.0,0.0,0.0054,0.0035,True
CES0600000008,0.1205,0.0318,-0.0,0.0,0.0,0.0046,0.0028,True
CUMFNS,0.1194,0.0344,-0.0005,0.0437,0.0442,0.757,1.0867,True
IPDCONGD,0.1165,0.0418,0.0033,0.001,-0.0023,0.0241,0.0527,True
CE16OV,0.1138,0.0496,0.0015,0.0008,-0.0007,0.0032,0.0121,True
VIXCLSx,0.113,0.0523,18.9103,18.3615,-0.5488,5.6801,6.2857,False
CES2000000008,0.1112,0.0586,0.0,0.0,0.0,0.0103,0.0063,False
S&P 500,0.1087,0.0685,0.0067,0.0094,0.0028,0.0341,0.0334,False
CUSR0000SA0L5,0.1083,0.0703,0.0,0.0,-0.0,0.0027,0.0027,False
EXSZUSx,0.1072,0.0749,-0.002,-0.0015,0.0006,0.0255,0.0207,False
M2REAL,0.1011,0.1073,0.0021,0.0029,0.0009,0.0045,0.008,False
CLAIMSx,0.1002,0.1132,-0.0,-0.0078,-0.0078,0.0526,0.168,False
UNRATE,0.0986,0.1235,-0.0039,-0.028,-0.0241,0.1869,0.8046,False
UEMP27OV,0.0982,0.1264,-0.0002,-0.0065,-0.0064,0.074,0.0759,False
BAA,0.0981,0.1273,0.0067,-0.0029,-0.0096,0.2128,0.1882,False
TOTRESNS,0.0958,0.1446,0.0001,-0.0,-0.0001,0.0314,0.0488,False
UEMP5TO14,0.0912,0.1838,0.0007,-0.004,-0.0047,0.0558,0.1245,False
AAA,0.0903,0.1929,0.007,0.0002,-0.0068,0.2358,0.1792,False
NONBORRES,0.0885,0.2111,0.0001,0.0023,0.0022,0.0334,0.0515,False
M2SL,0.0872,0.2249,0.0,0.0,0.0,0.0024,0.0054,False
DSERRG3M086SBEA,0.0862,0.2364,0.0,0.0,0.0,0.0015,0.0012,False
UEMP15T26,0.0856,0.2434,0.0005,-0.004,-0.0045,0.0811,0.1361,False
GS10,0.0813,0.2969,0.0047,0.0028,-0.002,0.3008,0.1976,False
CONSPI,0.0806,0.3062,-0.029,0.0353,0.0643,0.9401,3.3725,False
DDURRG3M086SBEA,0.0751,0.3892,-0.0,0.0,0.0,0.0032,0.0038,False
AWOTMAN,0.0748,0.3947,0.0047,0.0021,-0.0026,0.1478,0.1366,False
REALLN,0.0647,0.5775,0.0,0.0001,0.0,0.0031,0.0029,False
BUSLOANS,0.0644,0.5846,0.0,0.0002,0.0002,0.0061,0.013,False
S&P PE ratio,0.0635,0.6022,0.0013,-0.0052,-0.0064,0.037,0.0501,False
IPFUELS,0.0631,0.6084,0.0016,0.0001,-0.0014,0.0191,0.0236,False
AMDMNOx,0.0505,0.8488,0.0052,0.0036,-0.0016,0.0342,0.0496,False
PCEPI,0.0389,0.9776,0.0,0.0,0.0,0.0017,0.0018,False
