encoder,cell,is_best_cell_on_val,val_nber_f1,val_sahm_f1,val_cfnai_f1,nber_assignment,dbcv,test_silhouette,n_clusters_test,noise_fraction_test,nber_f1_locked,nber_precision_locked,nber_recall_locked,c1_chauvet_f1,c1_sahm_f1,c1_cfnai_f1,c1_oecd_f1,c1_chauvet_auc,c1_sahm_auc,c1_cfnai_auc,c1_oecd_auc,c3_indpro_f1,c3_payems_f1,c3_unrate_f1,c4_ari
windowed_pca,tsne_kmeans,False,0.7812,0.6579,0.6429,"{0: 1, 1: 0, 3: 0}",,0.2544,3.0,0.0,0.0503,0.0255,2.0,0.3865,0.1047,0.0497,0.5042,0.4791,0.3747,0.5865,0.4213,0.0,0.1667,0.0,
windowed_pca,tsne_hdbscan,True,0.9667,0.8056,0.6923,"{-1: 0, 0: 1, 1: 1, 2: 0, 3: 0, 4: 0}",0.1903,0.616,5.0,0.0159,0.0,0.0,0.0,0.2276,0.0,0.0,0.4416,0.4278,0.2902,0.3027,0.5293,0.5634,0.2353,0.3636,
raw_pca,pca_kmeans,True,0.766,0.678,0.7692,"{0: 1, 1: 0, 2: 0, 3: 0}",,0.3119,4.0,0.0,0.4444,0.2857,1.0,0.0702,0.1818,0.3636,0.0682,0.502,0.5523,0.7365,0.5,0.2442,0.2807,0.2658,0.0483
raw_pca,pca_hdbscan,False,0.3529,0.3043,0.1538,"{-1: 0, 0: 1, 1: 0, 2: 0}",0.0935,-0.0601,7.0,0.4603,0.0,0.0,0.0,0.1034,0.087,0.0,0.0225,0.512,0.5132,0.4784,0.4738,0.4008,0.4615,0.322,0.1061
raw_pca,umap_kmeans,False,0.8333,0.7143,0.5625,"{0: 0, 1: 1, 2: 0, 3: 0}",,0.3599,4.0,0.0,0.0488,0.025,1.0,0.4,0.0842,0.0476,0.4348,0.5658,0.4149,0.5392,0.5077,0.3711,0.5,0.3259,
raw_pca,umap_hdbscan,False,0.0,0.0,0.0,{-1: 0},0.246,0.3324,3.0,0.2434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.3722,0.4459,0.2837,
raw_pca,tsne_kmeans,False,0.7143,0.6341,0.4839,"{0: 1, 1: 0, 2: 0, 3: 0}",,0.3226,4.0,0.0,0.0526,0.027,1.0,0.2903,0.0674,0.0513,0.3742,0.4786,0.396,0.5554,0.4707,0.375,0.4242,0.2403,
raw_pca,tsne_hdbscan,False,0.5965,0.5797,0.4898,"{-1: 0, 0: 0, 1: 0, 2: 1}",0.1245,0.3604,4.0,0.1693,0.0,0.0,0.0,0.4,0.1,0.0,0.2381,0.5965,0.4793,0.3784,0.4537,0.3822,0.3709,0.2051,
linear_ae,pca_kmeans,True,0.9153,0.7887,0.6275,"{0: 0, 1: 1, 2: 0, 3: 1}",,0.46,3.0,0.0,0.1739,0.0909,2.0,0.0426,0.2034,0.1667,0.24,0.3689,0.5908,0.8919,0.4583,0.4078,0.3191,0.3636,0.3894
linear_ae,pca_hdbscan,False,0.0,0.0,0.0,"{-1: 0, 0: 0, 1: 0}",-0.1629,0.3687,3.0,0.1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.3158,0.4459,0.1765,0.2445
linear_ae,umap_kmeans,False,0.7761,0.7848,0.5085,"{0: 0, 1: 0, 2: 1, 3: 0}",,0.3107,4.0,0.0,0.0714,0.0364,2.0,0.3125,0.112,0.0702,0.4293,0.4442,0.4374,0.7135,0.4336,0.3013,0.2143,0.2561,
linear_ae,umap_hdbscan,False,0.6957,0.6552,0.6842,"{-1: 0, 0: 0, 1: 0, 2: 1, 3: 0}",0.6625,0.6356,3.0,0.0317,0.0244,0.0125,0.5,0.3846,0.1053,0.0238,0.3975,0.5522,0.4511,0.4115,0.4753,0.4426,0.4875,0.4976,
linear_ae,tsne_kmeans,False,0.8387,0.7568,0.5556,"{0: 0, 1: 0, 2: 1, 3: 0}",,0.2359,4.0,0.0,0.0526,0.0267,2.0,0.38,0.1091,0.0519,0.4848,0.4771,0.3948,0.6054,0.4105,0.2353,0.4021,0.1818,
linear_ae,tsne_hdbscan,False,0.8667,0.75,0.5769,"{-1: 0, 0: 0, 1: 0, 2: 0, 3: 1, 4: 1}",0.1624,0.3956,7.0,0.1323,0.0,0.0,0.0,0.1348,0.0,0.0,0.3167,0.4413,0.3879,0.3946,0.5247,0.4545,0.4615,0.2705,
mlp_ae,pca_kmeans,True,0.7536,0.8148,0.4918,"{0: 0, 1: 1, 2: 0, 3: 1}",,0.198,4.0,0.0,0.0696,0.0354,2.0,0.3804,0.1406,0.0684,0.4433,0.515,0.5011,0.7054,0.4414,0.2166,0.433,0.1818,0.0758
mlp_ae,pca_hdbscan,False,0.6341,0.566,0.7273,"{-1: 0, 0: 0, 1: 1}",0.166,0.0584,11.0,0.3386,0.0,0.0,0.0,0.1714,0.1143,0.0,0.0594,0.5096,0.5149,0.4459,0.4398,0.4535,0.4624,0.3396,0.0259
mlp_ae,umap_kmeans,False,0.625,0.7632,0.4643,"{1: 0, 2: 1, 3: 0}",,0.5836,4.0,0.0,0.0206,0.0105,0.5,0.2621,0.0545,0.0202,0.4773,0.4166,0.3356,0.3709,0.5139,0.3728,0.4035,0.3141,
mlp_ae,umap_hdbscan,False,0.6512,0.6182,0.6286,"{-1: 0, 0: 0, 1: 1, 2: 0, 3: 0}",0.3106,0.3541,5.0,0.1746,0.0,0.0,0.0,0.3299,0.129,0.0,0.3281,0.5485,0.5098,0.373,0.5093,0.3369,0.506,0.2589,
mlp_ae,tsne_kmeans,False,0.6885,0.6027,0.5283,"{0: 0, 1: 0, 3: 1}",,0.2459,4.0,0.0,0.087,0.0444,2.0,0.3429,0.1333,0.0851,0.3392,0.5026,0.4948,0.7676,0.3966,0.3704,0.5794,0.3333,
mlp_ae,tsne_hdbscan,False,0.0,0.0,0.0,"{-1: 0, 0: 0, 1: 0}",,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,
svd,pca_kmeans,True,0.9677,0.8108,0.6667,"{0: 0, 1: 0, 2: 1}",,0.5005,4.0,0.0,0.0952,0.05,1.0,0.0,0.2182,0.0909,0.2314,0.3561,0.6023,0.6473,0.466,0.4364,0.2353,0.3636,0.3637
svd,pca_hdbscan,False,0.4615,0.5098,0.4516,"{-1: 0, 0: 1, 1: 0, 2: 0, 3: 0}",0.3061,0.3759,6.0,0.0952,0.0,0.0,0.0,0.2,0.2286,0.0,0.297,0.5232,0.5874,0.4459,0.5694,0.2791,0.4211,0.25,0.2349
svd,umap_kmeans,False,0.8421,0.8696,0.6122,"{0: 1, 1: 0, 3: 0}",,0.838,3.0,0.0,0.0606,0.0309,1.5,0.2449,0.1071,0.0594,0.4157,0.3958,0.4385,0.6209,0.4506,0.4898,0.1818,0.3774,
svd,umap_hdbscan,False,0.7234,0.678,0.7179,"{-1: 0, 0: 1, 1: 0, 2: 0, 3: 0, 4: 0}",0.6656,0.7938,3.0,0.0106,0.0408,0.0208,1.0,0.2329,0.0901,0.04,0.4181,0.3858,0.4052,0.4959,0.4552,0.4752,0.2609,0.3636,
svd,tsne_kmeans,False,0.8125,0.6579,0.6429,"{0: 1, 1: 0, 3: 0}",,0.2893,3.0,0.0,0.1212,0.0625,2.0,0.0877,0.2278,0.1176,0.2345,0.3378,0.642,0.8378,0.3873,0.3896,0.3243,0.2791,
svd,tsne_hdbscan,False,0.0,0.0,0.0,{-1: 0},0.5116,0.5788,2.0,0.1693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.1818,0.3333,0.2222,
bocpd,pca_kmeans,False,0.2424,0.0889,0.16,"{1: 0, 2: 1, 3: 0}",,0.9647,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.4568,0.4655,0.4676,0.5093,0.0,0.2,0.2857,0.7377
bocpd,pca_hdbscan,False,0.5,0.3462,0.1875,"{0: 0, 1: 1, 2: 1, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1714,0.4137,0.431,0.4351,0.4861,0.25,0.2353,0.4286,0.3493
bocpd,umap_kmeans,False,0.2,0.3462,0.125,"{0: 0, 2: 1, 3: 0}",,0.9639,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1524,0.4137,0.431,0.4351,0.4753,0.1818,0.1667,0.4444,
bocpd,umap_hdbscan,False,0.7,0.5,0.8125,"{-1: 0, 0: 0, 1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 0}",1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.4568,0.4655,0.4676,0.466,0.3636,0.3478,0.5,
bocpd,tsne_kmeans,False,0.2424,0.0889,0.16,"{0: 1, 1: 0, 2: 0, 3: 0}",,0.3549,3.0,0.0,0.0,0.0,0.0,0.3008,0.0,0.0,0.6341,0.4734,0.2615,0.2757,0.6775,0.2667,0.25,0.3077,
bocpd,tsne_hdbscan,True,0.8889,0.6667,0.6957,"{0: 1, 1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 1, 15: 0}",0.93,0.968,19.0,0.0,0.0408,0.0213,0.5,0.3505,0.0,0.0392,0.3906,0.5621,0.3649,0.5007,0.5525,0.3478,0.4773,0.4615,
hamilton_hmm,pca_kmeans,False,0.6923,0.6667,0.4571,"{0: 1, 1: 0, 3: 0}",,0.6729,4.0,0.0,0.0635,0.0328,1.0,0.1441,0.1579,0.0615,0.3803,0.3894,0.542,0.5905,0.5093,0.2344,0.2791,0.2,0.848
hamilton_hmm,pca_hdbscan,False,0.5333,0.5263,0.4865,"{-1: 0, 0: 0, 1: 0, 2: 0, 3: 0, 4: 1}",0.2583,0.6148,6.0,0.0265,0.0,0.0,0.0,0.1017,0.0,0.0,0.0444,0.5084,0.4741,0.4757,0.4799,0.3547,0.4138,0.2449,0.892
hamilton_hmm,umap_kmeans,True,0.7324,0.6988,0.5079,"{0: 1, 1: 0, 3: 0}",,0.6222,4.0,0.0,0.04,0.0208,0.5,0.0612,0.127,0.0385,0.3101,0.3681,0.5069,0.498,0.4938,0.4138,0.5788,0.202,
hamilton_hmm,umap_hdbscan,False,0.7324,0.6988,0.5079,"{-1: 0, 0: 0, 1: 1, 2: 0}",0.4952,0.5624,4.0,0.1111,0.0,0.0,0.0,0.3421,0.0,0.0,0.1682,0.5832,0.4253,0.4297,0.4769,0.4023,0.5714,0.2939,
hamilton_hmm,tsne_kmeans,False,0.6835,0.6593,0.4507,"{0: 0, 2: 1, 3: 0}",,0.5213,4.0,0.0,0.0656,0.0339,1.0,0.1101,0.1892,0.0635,0.3429,0.3694,0.5839,0.5959,0.4861,0.2597,0.2162,0.1714,
hamilton_hmm,tsne_hdbscan,False,0.625,0.6,0.6,"{-1: 0, 0: 1, 1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}",0.4834,0.5216,16.0,0.0265,0.1429,0.075,1.5,0.2889,0.4,0.1364,0.2479,0.5329,0.7833,0.775,0.4769,0.4304,0.487,0.2543,
moment,pca_kmeans,False,0.4091,0.3214,0.3889,"{0: 1, 1: 0, 2: 0, 3: 0}",,0.3209,4.0,0.0,0.129,0.069,1.0,0.3038,0.2273,0.1212,0.3091,0.5588,0.5977,0.677,0.5494,0.4118,0.4746,0.325,0.4416
moment,pca_hdbscan,False,0.1714,0.1277,0.2222,"{-1: 0, 0: 1, 1: 0}",0.1714,0.1154,16.0,0.2275,0.0,0.0,0.0,0.0727,0.1,0.0,0.0465,0.5092,0.5218,0.4865,0.4985,0.3944,0.4312,0.3,0.1683
moment,umap_kmeans,False,0.3846,0.3438,0.3182,"{0: 1, 1: 0, 2: 0, 3: 0}",,0.3973,4.0,0.0,0.0976,0.0513,1.0,0.4045,0.1481,0.093,0.4,0.6045,0.5328,0.65,0.5787,0.3908,0.453,0.3049,
moment,umap_hdbscan,False,0.0,0.0,0.0,"{-1: 0, 0: 0, 1: 0}",0.2481,-0.0429,5.0,0.5608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.4286,0.4173,0.3077,
moment,tsne_kmeans,True,0.4231,0.4063,0.3182,"{0: 0, 1: 0, 2: 0, 3: 1}",,0.4174,4.0,0.0,0.093,0.0488,1.0,0.3956,0.1429,0.0889,0.3934,0.5973,0.527,0.6446,0.5694,0.4321,0.4606,0.2953,
moment,tsne_hdbscan,False,0.1667,0.125,0.2143,"{-1: 0, 0: 1, 1: 0}",0.2572,0.1023,3.0,0.4497,0.0,0.0,0.0,0.1311,0.0769,0.0,0.1739,0.5148,0.5046,0.4703,0.5355,0.4371,0.4675,0.3521,
patchtst,pca_kmeans,False,0.3636,0.2687,0.2979,"{0: 0, 1: 0, 2: 1, 3: 0}",,0.3424,4.0,0.0,0.093,0.0488,1.0,0.1758,0.1429,0.0889,0.2623,0.4613,0.527,0.6446,0.483,0.4396,0.4565,0.3509,0.6032
patchtst,pca_hdbscan,False,0.3902,0.2264,0.2424,"{-1: 0, 0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0}",0.2525,0.1318,17.0,0.2698,0.0,0.0,0.0,0.1404,0.0909,0.0,0.0909,0.5292,0.5161,0.4811,0.5108,0.4147,0.4779,0.3153,0.4426
patchtst,umap_kmeans,False,0.3529,0.254,0.2326,"{0: 0, 1: 0, 2: 1, 3: 0}",,0.4625,4.0,0.0,0.0,0.0,0.0,0.2889,0.1091,0.0,0.314,0.5329,0.4937,0.3919,0.5201,0.4457,0.4457,0.3313,
patchtst,umap_hdbscan,False,0.0,0.0,0.0,{-1: 0},0.166,0.0289,2.0,0.6085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.4493,0.4823,0.288,
patchtst,tsne_kmeans,True,0.3846,0.25,0.3182,"{0: 1, 1: 0, 2: 0, 3: 0}",,0.3979,4.0,0.0,0.1053,0.0556,1.0,0.186,0.1569,0.1,0.2393,0.4793,0.5414,0.6581,0.4846,0.4469,0.4725,0.3452,
patchtst,tsne_hdbscan,False,0.3043,0.2069,0.2105,"{-1: 0, 0: 0, 1: 1, 2: 0, 3: 0}",0.1045,0.2299,4.0,0.2328,0.08,0.0435,0.5,0.1918,0.1579,0.0741,0.2115,0.5124,0.5425,0.5655,0.5123,0.4407,0.4494,0.3273,
tfc,pca_kmeans,False,0.7385,0.7013,0.5614,"{0: 0, 1: 0, 2: 1, 3: 0}",,0.1318,4.0,0.0,0.129,0.0667,2.0,0.3818,0.32,0.125,0.5248,0.5697,0.7621,0.8486,0.6219,0.3863,0.5532,0.3353,0.2641
tfc,pca_hdbscan,False,0.6667,0.4314,0.7097,"{-1: 0, 0: 1, 1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0}",0.2978,0.2713,16.0,0.1905,0.4286,0.25,1.5,0.0645,0.5185,0.375,0.086,0.484,0.719,0.8507,0.4877,0.3243,0.4211,0.2507,0.1139
tfc,umap_kmeans,True,0.8679,0.7692,0.7111,"{0: 1, 1: 0, 2: 0, 3: 0}",,0.6202,4.0,0.0,0.1538,0.0811,1.5,0.2299,0.3462,0.1463,0.2881,0.5029,0.7195,0.7831,0.5123,0.4641,0.6667,0.3038,
tfc,umap_hdbscan,False,0.6667,0.8046,0.5075,"{-1: 0, 0: 0, 1: 1}",0.3468,0.5316,3.0,0.1746,0.0,0.0,0.0,0.349,0.0526,0.0,0.4222,0.4974,0.3241,0.2324,0.4522,0.48,0.7,0.2932,
tfc,tsne_kmeans,False,0.561,0.7234,0.4324,"{1: 0, 3: 1}",,0.3407,2.0,0.0,0.0882,0.0455,1.5,0.0345,0.2963,0.0857,0.3129,0.2898,0.7448,0.7047,0.4429,0.3333,0.4615,0.4,
tfc,tsne_hdbscan,False,0.8364,0.806,0.6809,"{0: 0, 1: 0, 2: 0, 3: 1}",0.3553,0.4881,10.0,0.0159,0.0,0.0,0.0,0.3788,0.0619,0.0,0.3436,0.545,0.373,0.2784,0.4228,0.4545,0.6,0.2353,
timesnet,pca_kmeans,False,0.6222,0.5965,0.5946,"{0: 1, 1: 0, 2: 0, 3: 1}",,0.3292,3.0,0.0,0.027,0.0139,0.5,0.1148,0.1379,0.0263,0.2614,0.3362,0.5103,0.4331,0.3827,0.1111,0.2609,0.125,0.2603
timesnet,pca_hdbscan,False,0.6154,0.4314,0.7097,"{-1: 0, 0: 1, 1: 0}",-0.136,0.4908,2.0,0.0159,0.0,0.0,0.0,0.0,0.0,0.0,0.2523,0.3921,0.4138,0.4189,0.5123,0.2,0.0,0.0,0.2194
timesnet,umap_kmeans,False,0.4727,0.4776,0.4255,"{0: 1, 1: 0, 2: 0, 3: 0}",,0.5904,3.0,0.0,0.0,0.0,0.0,0.137,0.3158,0.0,0.1923,0.4853,0.6511,0.4378,0.5015,0.3429,0.2727,0.2105,
timesnet,umap_hdbscan,False,0.5614,0.4928,0.4898,"{-1: 0, 0: 1, 1: 0, 2: 0}",0.5865,0.5776,3.0,0.2487,0.0548,0.0282,1.0,0.3636,0.0698,0.0533,0.4079,0.5437,0.4046,0.5635,0.5062,0.3571,0.4138,0.3077,
timesnet,tsne_kmeans,False,0.6222,0.5965,0.5946,"{1: 0, 2: 0, 3: 1}",,0.2351,2.0,0.0,0.0204,0.0104,0.5,0.2055,0.1802,0.02,0.4859,0.3586,0.5862,0.3682,0.5201,0.1429,0.0,0.1667,
timesnet,tsne_hdbscan,True,0.7907,0.5455,0.8571,"{-1: 0, 0: 0, 1: 1, 2: 0, 3: 1, 4: 0}",0.3401,0.5752,2.0,0.0,0.0492,0.025,1.5,0.3765,0.0296,0.0484,0.5373,0.5035,0.2276,0.5588,0.5278,0.0,0.0,0.0,
ts2vec,pca_kmeans,False,0.2857,0.383,0.2222,"{0: 0, 1: 0, 2: 1, 3: 0}",,0.255,4.0,0.0,0.0,0.0,0.0,0.3846,0.0,0.0,0.554,0.5011,0.1207,0.1432,0.5262,0.1622,0.25,0.1935,0.0842
ts2vec,pca_hdbscan,False,0.0,0.0,0.0,"{-1: 0, 0: 0, 1: 0, 2: 0}",0.3478,0.3243,4.0,0.2434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.3271,0.2667,0.2017,0.3049
ts2vec,umap_kmeans,False,0.3,0.1538,0.25,"{0: 1, 1: 0, 3: 0}",,0.7189,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714,0.4892,0.4914,0.4919,0.5185,0.4444,0.4865,0.3478,
ts2vec,umap_hdbscan,False,0.5185,0.5833,0.34,"{0: 0, 1: 1}",0.634,0.7186,5.0,0.0741,0.0,0.0,0.0,0.1026,0.1395,0.0,0.0917,0.4537,0.5282,0.4243,0.4244,0.5106,0.4,0.2614,
ts2vec,tsne_kmeans,False,0.5882,0.5,0.4,"{1: 1, 3: 0}",,0.1397,2.0,0.0,0.0229,0.0116,1.0,0.3767,0.117,0.0226,0.5433,0.4488,0.4011,0.2878,0.4444,0.1538,0.4286,0.1818,
ts2vec,tsne_hdbscan,True,0.7556,0.5965,0.6486,"{-1: 0, 0: 0, 1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 1}",0.5862,0.4204,3.0,0.0,0.0,0.0,0.0,0.313,0.225,0.0,0.3699,0.5109,0.6391,0.3243,0.4907,0.2222,0.2,0.2857,
